api	method	path	tag	operation_id	deprecated	pagination	sorting	action	fingerprint
cloud	GET	/actions	Actions	get_actions	no	no	no	action-list	4dea538a17f87a4a5f83d482ef5c79157b967ba8387ac680935312edd8ddc49f
cloud	GET	/actions/{id}	Actions	get_action	no	no	no	action-get	e5a08fea8e129e5a4ae4ef7cc68c1ec7d86abd88523511fbf244a1d7e9c1c43b
cloud	GET	/certificates	Certificates	list_certificates	no	yes	yes	none	549b6f3543ed7962dcaf43b6c2b3fa9182cca50b09fde588f6624f3112854aef
cloud	POST	/certificates	Certificates	create_certificate	no	no	no	none	2d9ea1c411129acd56077276b3917fe88c12aa254db8a9a27ec2f52cad375fc5
cloud	GET	/certificates/actions	Certificate Actions	list_certificates_actions	no	yes	yes	action-list	415677da406950398215465280c630535de54d3001171bce156fc9ab2911727e
cloud	GET	/certificates/actions/{id}	Certificate Actions	get_certificates_action	no	no	no	action-get	17a14d1423b7580dc7c10aace639fbec4a116d14b786fe462941a5b4f74b7c2a
cloud	DELETE	/certificates/{id}	Certificates	delete_certificate	no	no	no	none	de6b71eacfc2f89adc5f742f7287b5c2dd6d3a6b675de43c056e29b426436520
cloud	GET	/certificates/{id}	Certificates	get_certificate	no	no	no	none	856002a25ad34f1edb3716aab960690e63bcf3d5932812b7a3c926165a885c07
cloud	PUT	/certificates/{id}	Certificates	update_certificate	no	no	no	none	7e4ff5ca893ee025eadbbc35b2069b10db4ba6a26eaee3a2b204ea6d262bbf15
cloud	GET	/certificates/{id}/actions	Certificate Actions	list_certificate_actions	no	yes	yes	action-list	5d08b81b9711c8a7fe42aed1f57f792d556b9a0b9fb4f618da11bfde9b7c0c02
cloud	POST	/certificates/{id}/actions/retry	Certificate Actions	retry_certificate	no	no	no	starts-action	9bbce46786b7e0ca4340b45633d85c1d41add2cd69183d05126b4928b4917418
cloud	GET	/certificates/{id}/actions/{action_id}	Certificate Actions	get_certificate_action	yes	no	no	resource-action-get	a0de492428e2896ec957aa56e4455853fe766e10156c3076dc751d0b4254c9e9
cloud	GET	/datacenters	Data Centers	list_datacenters	yes	yes	yes	none	cf827046ac7bfa352580b0799d2192f1d48af47e4f32cc7114c4dcb95ee21f14
cloud	GET	/datacenters/{id}	Data Centers	get_datacenter	yes	no	no	none	4b721cec1648520e9f434c221d6d409e01e7ff4a40f4e4c05c9896f0b021df9e
cloud	GET	/firewalls	Firewalls	list_firewalls	no	yes	yes	none	41f5c6b094adccbababd33c1c7f1de801ca874be90dc7ab694d981bbd5020036
cloud	POST	/firewalls	Firewalls	create_firewall	no	no	no	none	bc525dfc487d4c74c84e85d8b7a9fe671a95d9328a2e51f8792dbe2e11f8597a
cloud	GET	/firewalls/actions	Firewall Actions	list_firewalls_actions	no	yes	yes	action-list	779fb2a4ab4473cf0d037e0ec1844460792f81ebcdcb9937050e05b495648d33
cloud	GET	/firewalls/actions/{id}	Firewall Actions	get_firewalls_action	no	no	no	action-get	68e9001887bc198512c6afd5bdaa09b8bc40558dd7bb21e73db3cf7da09a6ab1
cloud	DELETE	/firewalls/{id}	Firewalls	delete_firewall	no	no	no	none	9820979607628fac0e19aceb6bbffad29a2914eb14e7b39fba3bd3b89e7fa6dd
cloud	GET	/firewalls/{id}	Firewalls	get_firewall	no	no	no	none	6370312bb88b529624d4bc4647e3544b1a2482115d5da91ee0918c991e5032e5
cloud	PUT	/firewalls/{id}	Firewalls	update_firewall	no	no	no	none	8471abe8c5ce224a08b5ce0eab5c6c1547990c05486703696e70df53ea4c12b2
cloud	GET	/firewalls/{id}/actions	Firewall Actions	list_firewall_actions	no	yes	yes	action-list	8a3a9655f9f98b12fa3b5bd6db03c52f5409e26cbead5154510ca07cea3ef1c1
cloud	POST	/firewalls/{id}/actions/apply_to_resources	Firewall Actions	apply_firewall_to_resources	no	no	no	starts-action	769fde5f6d51760d346ce156fa3512e72146e2cdda77fead528965a70a46c346
cloud	POST	/firewalls/{id}/actions/remove_from_resources	Firewall Actions	remove_firewall_from_resources	no	no	no	starts-action	042962b31ec2db6b803eff49a7155442bab2564d5c0edcc233b080d41787db8b
cloud	POST	/firewalls/{id}/actions/set_rules	Firewall Actions	set_firewall_rules	no	no	no	starts-action	423e33553141ac2d1b8979b83097e972c8e9742c2f077d02215d6bf297e31163
cloud	GET	/firewalls/{id}/actions/{action_id}	Firewall Actions	get_firewall_action	yes	no	no	resource-action-get	e18d399a2eae63f475080ec4d42d39a80ccc99806208bc0c4e4a4debf8ddbcfb
cloud	GET	/floating_ips	Floating IPs	list_floating_ips	no	yes	yes	none	69f20940517588e76cecd0ec35124def143dbeae636763a096a44b2dc79baa6c
cloud	POST	/floating_ips	Floating IPs	create_floating_ip	no	no	no	none	f50d15fa59595087fad917cc1d6c53c452172f038d4b5b281f06ac9b0de8e569
cloud	GET	/floating_ips/actions	Floating IP Actions	list_floating_ips_actions	no	yes	yes	action-list	4899f04ea4aa4ca4e97e47a17d66fe084251f947b611f5b2b324be1a6d8de3a1
cloud	GET	/floating_ips/actions/{id}	Floating IP Actions	get_floating_ips_action	no	no	no	action-get	011aef08c3b90b34a64d141ab2279ab7f41a74a133f068471eceda24055a6105
cloud	DELETE	/floating_ips/{id}	Floating IPs	delete_floating_ip	no	no	no	none	cb1d5aa373561358ec94e972321493477cf4d05fd97fd815dc83f3aab0666b12
cloud	GET	/floating_ips/{id}	Floating IPs	get_floating_ip	no	no	no	none	94174260e7c7082d3e716b0a03d46ee5125ac68aa44c590532089d28a1806c9d
cloud	PUT	/floating_ips/{id}	Floating IPs	update_floating_ip	no	no	no	none	14d9cf043abfb602ba85e0e48c5c558eacf75610e2d9af6c73c6f18e46fea2ce
cloud	GET	/floating_ips/{id}/actions	Floating IP Actions	list_floating_ip_actions	no	yes	yes	action-list	369e2e0ff92ae5cd1ce3565e7df40568793d3851d268dad298fc738d2f6b5ad8
cloud	POST	/floating_ips/{id}/actions/assign	Floating IP Actions	assign_floating_ip	no	no	no	starts-action	be8dfa4d58b70f86c425e95b4e621b0448a3026cc5aa4e5b83869ac8085759b8
cloud	POST	/floating_ips/{id}/actions/change_dns_ptr	Floating IP Actions	change_floating_ip_dns_ptr	no	no	no	starts-action	f82e960a8b70b57395d9e863088aed20ecac9ce609e3b98bb47b0459e61136d7
cloud	POST	/floating_ips/{id}/actions/change_protection	Floating IP Actions	change_floating_ip_protection	no	no	no	starts-action	37ee8827f16b66d71f320cab705b61920f96df74ffa3f581ed48c7e72854f7a9
