api	method	path	operation_id	in	name	required	schema_type	schema_format	items_type	style	explode	enum	constraints	fingerprint
cloud	GET	/actions	get_actions	query	id	yes	array		integer	form	yes	[]	{}	e2c6cb2b9dfc5b00dc303b8a3d4657befdd061aca5b3d943f09399567d477040
cloud	GET	/actions/{id}	get_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/certificates	list_certificates	query	label_selector	no	string			form	yes	[]	{}	34409838baa32e96bfe5a5351a68ee5e9f443f670093da099bc1c087bea7b0db
cloud	GET	/certificates	list_certificates	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
cloud	GET	/certificates	list_certificates	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/certificates	list_certificates	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/certificates	list_certificates	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""name"",""name:asc"",""name:desc"",""created"",""created:asc"",""created:desc""]"	{}	07bff43e34756fb7d2447e01aee4be72ebaef5e830ff97adfa18ce8843cc18c4
cloud	GET	/certificates	list_certificates	query	type	no	array		string	form	yes	"[""uploaded"",""managed""]"	{}	e92d6186c70dce2c4b43741232f5ff04fbeceea6167591ba2d5bf0ab61008d44
cloud	GET	/certificates/actions	list_certificates_actions	query	id	no	array		integer	form	yes	[]	{}	2d8b77ea2e81a340f3e827128f1d4484364ffd1af75bdb7c99ac15ed457769e9
cloud	GET	/certificates/actions	list_certificates_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/certificates/actions	list_certificates_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/certificates/actions	list_certificates_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/certificates/actions	list_certificates_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	GET	/certificates/actions/{id}	get_certificates_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	DELETE	/certificates/{id}	delete_certificate	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/certificates/{id}	get_certificate	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	PUT	/certificates/{id}	update_certificate	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/certificates/{id}/actions	list_certificate_actions	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/certificates/{id}/actions	list_certificate_actions	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/certificates/{id}/actions	list_certificate_actions	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/certificates/{id}/actions	list_certificate_actions	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""command"",""command:asc"",""command:desc"",""status"",""status:asc"",""status:desc"",""started"",""started:asc"",""started:desc"",""finished"",""finished:asc"",""finished:desc""]"	{}	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
cloud	GET	/certificates/{id}/actions	list_certificate_actions	query	status	no	array		string	form	yes	"[""running"",""success"",""error""]"	{}	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
cloud	POST	/certificates/{id}/actions/retry	retry_certificate	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/certificates/{id}/actions/{action_id}	get_certificate_action	path	action_id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	293372cabd5bfe7cbac6682fa699c26b1ef93d7bbbde99b04737977e5d12e702
cloud	GET	/certificates/{id}/actions/{action_id}	get_certificate_action	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/datacenters	list_datacenters	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
cloud	GET	/datacenters	list_datacenters	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/datacenters	list_datacenters	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/datacenters	list_datacenters	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""name"",""name:asc"",""name:desc""]"	{}	0f28e79b305db9e8fbceaa511b4fc26d146218ec85d770b45d282040d366c2e7
cloud	GET	/datacenters/{id}	get_datacenter	path	id	yes	integer	int64		simple	no	[]	"{""maximum"":9007199254740991,""minimum"":1}"	d6b4c07803afd497b5fa524b50712cd69b5b7b0bce4e48238d2412211630ab1c
cloud	GET	/firewalls	list_firewalls	query	label_selector	no	string			form	yes	[]	{}	34409838baa32e96bfe5a5351a68ee5e9f443f670093da099bc1c087bea7b0db
cloud	GET	/firewalls	list_firewalls	query	name	no	string			form	yes	[]	{}	c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
cloud	GET	/firewalls	list_firewalls	query	page	no	integer	int64		form	yes	[]	{}	49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
cloud	GET	/firewalls	list_firewalls	query	per_page	no	integer	int64		form	yes	[]	{}	6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
cloud	GET	/firewalls	list_firewalls	query	sort	no	array		string	form	yes	"[""id"",""id:asc"",""id:desc"",""name"",""name:asc"",""name:desc"",""created"",""created:asc"",""created:desc""]"	{}	07bff43e34756fb7d2447e01aee4be72ebaef5e830ff97adfa18ce8843cc18c4
