classification	stability	cargo_contract	method	path	operation_id	observed_auth	admitted_auth	request_media	request_sha256	response_statuses	response_media	response_sha256	policy
included	experimental	no	GET	/api/v1/categories	list_categories	anonymous	anonymous	-	48dc608d4e4e7605920ee8e950f0ae2cd8f7dc0d0476c420faf1864710e2184a	200,4XX,5XX	application/json	e961f75d5d4113963541bef442e399027d55666526ef208874a788ae4f6df364	public-openapi
included	experimental	no	GET	/api/v1/categories/{category}	find_category	anonymous	anonymous	-	996a548bf34a421cf24a9de1113ad898e1d866bbca860a5d33d7e170d36027be	200,4XX,5XX	application/json	8fd8f9534bd2f02ba00e6a5ac32b5343a65edb62a803bc2aff0c4dd7312db170	public-openapi
included	experimental	no	GET	/api/v1/category_slugs	list_category_slugs	anonymous	anonymous	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	200,4XX,5XX	application/json	997504d8937b7cb9717f26b283481237ad4aedd2a74f130a3b9c376789562dfd	public-openapi
included	experimental	no	PUT	/api/v1/confirm/{email_token}	confirm_user_email	anonymous	email_confirmation_path_token	-	f74a25b5aff867c2a7dda76c993fdb5c10e514cf8fc3711c5dd4c0b2f7f4864b	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	public-openapi
included	stable-cargo	yes	GET	/api/v1/crates	list_crates	anonymous|api_token|cookie	anonymous|api_token	-	2af917d97247cb4a0fc836178f42d091d022ce6b0a94f1f24d3b1199ecc220af	200,4XX,5XX	application/json	7dda1dddb7ceb28388f09ea4a9418af83651ca167cb29ea65df4e55ca3dccc8d	cargo-stable
included	experimental	no	GET	/api/v1/crates/new	find_new_crate	anonymous	anonymous	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	200,4XX,5XX	application/json	d5475e8a8a6b8a3fec8b9cdf8c8e13431cbbbe57d3ad10772eeb3131c7659b56	public-openapi
included	stable-cargo	yes	PUT	/api/v1/crates/new	publish	api_token|trustpub_token|cookie	api_token|trustpub_token	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	200,4XX,5XX	application/json	1806c358bbec1def82d290a8cfbc43418bdff447d70d4a14e6e7f0254fe52c77	cargo-stable
included	experimental	no	GET	/api/v1/crates/{name}	find_crate	anonymous	anonymous	-	a9cc50d5a81182d6555172a8dc205d833290f34df2908c614d978dda4adb5e02	200,4XX,5XX	application/json	d5475e8a8a6b8a3fec8b9cdf8c8e13431cbbbe57d3ad10772eeb3131c7659b56	public-openapi
included	experimental	no	PATCH	/api/v1/crates/{name}	update_crate	api_token|cookie	api_token	application/json	28a53d39b753d8bf7796fb097fc815473a0742da98055d9641074cd0bbcf8ddc	200,4XX,5XX	application/json	faab61981549510ce49f2ec11da139928bd47bfd0384ead618b19f458ce9ff07	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/downloads	get_crate_downloads	anonymous	anonymous	-	1eea5da223c9b8552630e267c0f016b174aea787a28e2aab6a337adec48458ed	200,4XX,5XX	application/json	6dd8ca6351c9e8a76558acfb8935b241aebaefe35df05976a9f20cfd3caa9802	public-openapi
included	experimental	no	DELETE	/api/v1/crates/{name}/follow	unfollow_crate	api_token|cookie	api_token	-	908240ecc81e5c0d06a2a68395891d3312d5d5b2108c132d7d887dac040a51b4	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	public-openapi
included	experimental	no	PUT	/api/v1/crates/{name}/follow	follow_crate	api_token|cookie	api_token	-	908240ecc81e5c0d06a2a68395891d3312d5d5b2108c132d7d887dac040a51b4	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/owner_team	get_team_owners	anonymous	anonymous	-	908240ecc81e5c0d06a2a68395891d3312d5d5b2108c132d7d887dac040a51b4	200,4XX,5XX	application/json	14cd07a80eee9821f57e858dd9fb6f0122a2832634ee4344e828838b7d0fb87d	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/owner_user	get_user_owners	anonymous	anonymous	-	908240ecc81e5c0d06a2a68395891d3312d5d5b2108c132d7d887dac040a51b4	200,4XX,5XX	application/json	cc64d462c99b4ab6126ccefd98e2af65755bb0434e1fb04b851534832af4be54	public-openapi
included	stable-cargo	yes	DELETE	/api/v1/crates/{name}/owners	remove_owners	api_token|cookie	api_token	application/json	a971af780cc428086943c0faabaab3501ea33518539ae38ecceb6d21b85ecb1a	200,4XX,5XX	application/json	78123cfc2fc0339803abc68857a18ebfa63582c6fa468ae55c10e5a95e300eb4	cargo-stable
included	stable-cargo	yes	GET	/api/v1/crates/{name}/owners	list_owners	anonymous	anonymous	-	908240ecc81e5c0d06a2a68395891d3312d5d5b2108c132d7d887dac040a51b4	200,4XX,5XX	application/json	cc64d462c99b4ab6126ccefd98e2af65755bb0434e1fb04b851534832af4be54	cargo-stable
included	stable-cargo	yes	PUT	/api/v1/crates/{name}/owners	add_owners	api_token|cookie	api_token	application/json	a971af780cc428086943c0faabaab3501ea33518539ae38ecceb6d21b85ecb1a	200,4XX,5XX	application/json	78123cfc2fc0339803abc68857a18ebfa63582c6fa468ae55c10e5a95e300eb4	cargo-stable
included	experimental	no	GET	/api/v1/crates/{name}/reverse_dependencies	list_reverse_dependencies	anonymous	anonymous	-	a32e15ab96e53413a96e6bead26d84b87df657409a3c7d99a36e8a93a4af55ee	200,4XX,5XX	application/json	509a4017f00d5ec71c83c9849c3827875fab3452424c566f958d9039cde0a7c5	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/versions	list_versions	anonymous	anonymous	-	741365bd07b5eee198895bd93264155b2b172a34def8c6f5d906a6560b3562bd	200,4XX,5XX	application/json	9936515385572f61879c273ab8069730b00bc3efeff0c4773ebd66c9b07d287f	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/{version}	find_version	anonymous	anonymous	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,4XX,5XX	application/json	fefdf6a15ec1764174165819aaa90f10a41275518185f056faefc967c7a61719	public-openapi
included	experimental	no	PATCH	/api/v1/crates/{name}/{version}	update_version	api_token|cookie	api_token	application/json	dcc3b6004744b1917954c6e77007314587419daec50291778b929273e4e54512	200,4XX,5XX	application/json	7b0fa79216491b39b9b2c8856e6e9a141b9fa61200c1cd372d825618dbbd47ec	public-openapi
included	deprecated-experimental	no	GET	/api/v1/crates/{name}/{version}/authors	get_version_authors	anonymous	anonymous	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,4XX,5XX	application/json	5234941336ad300bbd48aa7c83f94cab6741bafd9ed5e9162f2a859aff11d52a	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/{version}/dependencies	get_version_dependencies	anonymous	anonymous	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,4XX,5XX	application/json	14d1f0ab1cf2a882a6e5fb45ea664d3a683630dedd3409854e86591eed9f57eb	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/{version}/download	download_version	anonymous	anonymous	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,302,4XX,5XX	application/json	e0f9f7f157b6de6d37f9bddc8a4b3707f437f5185a205972de3fec6a8b998a62	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/{version}/downloads	get_version_downloads	anonymous	anonymous	-	dded081c4fd86cdddc57dac0cad8bf7c1ae15d4ecfbb03b202db31424a9c0892	200,4XX,5XX	application/json	3f87d165cef631c2fde56c738410cc9eeba3d145954016dc42df92178caeabed	public-openapi
included	experimental	no	GET	/api/v1/crates/{name}/{version}/readme	get_version_readme	anonymous	anonymous	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,302,4XX,5XX	application/json	925c4d9f06f6071168bc8097c4cfa27e30ca61b9cb974c2e485ffce827321a65	public-openapi
included	stable-cargo	yes	PUT	/api/v1/crates/{name}/{version}/unyank	unyank_version	api_token|cookie	api_token	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	cargo-stable
included	stable-cargo	yes	DELETE	/api/v1/crates/{name}/{version}/yank	yank_version	api_token|cookie	api_token	-	5ab8dd5e798dfa4b5c63d4858ebd90a1f0059e3c4e7e7d5d50b743860d92cec0	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	cargo-stable
included	experimental	no	GET	/api/v1/keywords	list_keywords	anonymous	anonymous	-	b9cdf7d4c7c4233a9274c49c6027caee00f2e8f553881720c642b01859d17551	200,4XX,5XX	application/json	1c1b953a3bc86f55451cb742f4be655d8a5ae34de624675eb524a3e5655fc516	public-openapi
included	experimental	no	GET	/api/v1/keywords/{keyword}	find_keyword	anonymous	anonymous	-	672ba0773c7bb23e92fa5f1f88b34b0e54c39d9fb29272d34ce6e3f5d4c26456	200,4XX,5XX	application/json	c0802b05b7197b5b7d72694462a863d63437d57ece47fb315c4e1124a059ba15	public-openapi
included	experimental	no	PUT	/api/v1/me/crate_owner_invitations/accept/{token}	accept_crate_owner_invitation_with_token	anonymous	owner_invitation_path_token	-	652494e57eb98f13f70596c9919c2b9bd08de8241a44ad10962c60d72ad1fef2	200,4XX,5XX	application/json	d08e1146423ba6360661f10106962fccfd39590b99255b2f72c102787dcbdab1	public-openapi
included	experimental	no	PUT	/api/v1/me/crate_owner_invitations/{crate_id}	handle_crate_owner_invitation	api_token|cookie	api_token	application/json	3f3f94e0dcf30a2465059044fe14f0f78f3539e19523c84f7686ebac49e1da3d	200,4XX,5XX	application/json	d08e1146423ba6360661f10106962fccfd39590b99255b2f72c102787dcbdab1	public-openapi
included	deprecated-experimental	no	PUT	/api/v1/me/email_notifications	update_email_notifications	api_token|cookie	api_token	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	public-openapi
included	experimental	no	DELETE	/api/v1/me/tokens/{id}	revoke_api_token	api_token|cookie	api_token	-	fbc2a46f13a0772ecdaa7dc58617f98aa2d71891d63003e07e66284e9ac27ce3	200,4XX,5XX	application/json	4b584727980192dd4f0470d2d332510b0a3c1e635fca9071048801e74d27c34d	public-openapi
included	experimental	no	GET	/api/v1/me/tokens/{id}	find_api_token	api_token|cookie	api_token	-	fbc2a46f13a0772ecdaa7dc58617f98aa2d71891d63003e07e66284e9ac27ce3	200,4XX,5XX	application/json	9cffdec3f675e414b4245edb047921a486020f504bfd864f73a5bcc0ab698eec	public-openapi
included	experimental	no	GET	/api/v1/site_metadata	get_site_metadata	anonymous	anonymous	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	200,4XX,5XX	application/json	4e96f3a59a9ef540aea07f10575f0e903df8a2dd6e0e125f00f07911704187df	public-openapi
included	experimental	no	GET	/api/v1/summary	get_summary	anonymous	anonymous	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	200,4XX,5XX	application/json	b223b01a2aa88353d6414476b2b30a396281bba497914bb48a39149d21ac9d64	public-openapi
included	experimental	no	GET	/api/v1/teams/{team}	find_team	anonymous	anonymous	-	4e3638aa7d8ab46288f7ccadb8547461211cc3e04a2ac546d6769096122a7141	200,4XX,5XX	application/json	4cf1e89c12201f7af1566dad238cb97d03811a72efcafa2bc925f4614c3889ba	public-openapi
included	experimental	no	DELETE	/api/v1/tokens/current	revoke_current_api_token	api_token	api_token	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	204,4XX,5XX	application/json	8dd72b21bf167c800488da415488c77724e27aa0e17f7c7e05d7d2ea71439c85	public-openapi
included	experimental	no	GET	/api/v1/trusted_publishing/github_configs	list_trustpub_github_configs	cookie|api_token	api_token	-	a4cf902ceee2f2ae916bbead190318ff98caf7f0339219cc0cffb0309343812d	200,4XX,5XX	application/json	333b7ebbaf3381ace6db2b4bd4458a87784b5f84940973ecf4c06d31f7aeb360	public-openapi
included	experimental	no	POST	/api/v1/trusted_publishing/github_configs	create_trustpub_github_config	cookie|api_token	api_token	application/json	9686c8c8cf1df5faa18df8d28c18d9a81c7a2cdb672fe61126885584ffe35745	200,4XX,5XX	application/json	e9204954644992fb3a941559dc010e8448704b88317b9fe1b83393df2b84cbe9	public-openapi
included	experimental	no	DELETE	/api/v1/trusted_publishing/github_configs/{id}	delete_trustpub_github_config	cookie|api_token	api_token	-	2ced5a2b90e319b4e45947c86f8746854b814da04d44798ffc97c58ff595c990	204,4XX,5XX	application/json	8dd72b21bf167c800488da415488c77724e27aa0e17f7c7e05d7d2ea71439c85	public-openapi
included	experimental	no	GET	/api/v1/trusted_publishing/gitlab_configs	list_trustpub_gitlab_configs	cookie|api_token	api_token	-	a4cf902ceee2f2ae916bbead190318ff98caf7f0339219cc0cffb0309343812d	200,4XX,5XX	application/json	75a78888132cfbb8620c2c99dedd99392f806f818db9ded63fb2352016dcf8a8	public-openapi
included	experimental	no	POST	/api/v1/trusted_publishing/gitlab_configs	create_trustpub_gitlab_config	cookie|api_token	api_token	application/json	ff9f631b2ca5268eb91ce796fc76ee30b3ef85d6eb55e48d1fdf9c6677979d10	200,4XX,5XX	application/json	ccd60ba74ffba243280335e7e33341049c0b88bb8a24d3d021a97ace4c8ab3b8	public-openapi
included	experimental	no	DELETE	/api/v1/trusted_publishing/gitlab_configs/{id}	delete_trustpub_gitlab_config	cookie|api_token	api_token	-	2ced5a2b90e319b4e45947c86f8746854b814da04d44798ffc97c58ff595c990	204,4XX,5XX	application/json	8dd72b21bf167c800488da415488c77724e27aa0e17f7c7e05d7d2ea71439c85	public-openapi
included	experimental	no	DELETE	/api/v1/trusted_publishing/tokens	revoke_trustpub_token	trustpub_token	trustpub_token	-	b5756d4da10f713505b73bcb27112c6a9849093b9b727255fc5bf4b4cdda95d9	204,4XX,5XX	application/json	8dd72b21bf167c800488da415488c77724e27aa0e17f7c7e05d7d2ea71439c85	public-openapi
included	experimental	no	POST	/api/v1/trusted_publishing/tokens	exchange_trustpub_token	anonymous	oidc_assertion_body	application/json	fc662be6a491f2db4b33b32fac7af7d9bf1580b687268089d4ffd7aeedc273dc	200,4XX,5XX	application/json	6ff62f2aed2d5360f57885cc853675fb1cdd33d18449d00dcb47b45434141f93	public-openapi
included	experimental	no	PUT	/api/v1/users/{id}/resend	resend_email_verification	api_token|cookie	api_token	-	54216190c14c37bda0a45be4bb10171b692287e3a868198802eb003a07d4905a	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	public-openapi
included	experimental	no	GET	/api/v1/users/{id}/stats	get_user_stats	anonymous	anonymous	-	54216190c14c37bda0a45be4bb10171b692287e3a868198802eb003a07d4905a	200,4XX,5XX	application/json	49cd57c406fdb6e7bb382bd751eaa0b803ddf44bf27f8bfc3c9320155171d84f	public-openapi
included	experimental	no	GET	/api/v1/users/{user}	find_user	anonymous	anonymous	-	213527df2d4a1c3a009851f31ce5228bdc071a7e9047485a740db8d6c8c7411c	200,4XX,5XX	application/json	fae3e414d24534c6c2ae467edef14d264e6a76877c5f7532dafde7a7207efc57	public-openapi
included	experimental	no	PUT	/api/v1/users/{user}	update_user	api_token|cookie	api_token	application/json	ba7c4f4900f357bb548e0c96468856ed8fe7e1e2dd60125616fd83d242c17d03	200,4XX,5XX	application/json	7bd65484b7a8d488ed0ddb9d4d2c83a2f2b5ada528d599328b621e2b044fc9b2	public-openapi
