prefix	designation	date
2001:200::/23	APNIC	1999-07-01
2001:400::/23	ARIN	1999-07-01
2001:600::/23	RIPE NCC	1999-07-01
2001:800::/22	RIPE NCC	2002-11-02
2001:c00::/23	APNIC	2002-05-02
2001:e00::/23	APNIC	2003-01-01
2001:1200::/23	LACNIC	2002-11-01
2001:1400::/22	RIPE NCC	2003-07-01
2001:1800::/23	ARIN	2003-04-01
2001:1a00::/23	RIPE NCC	2004-01-01
2001:1c00::/22	RIPE NCC	2004-05-04
2001:2000::/19	RIPE NCC	2019-03-12
2001:4000::/23	RIPE NCC	2004-06-11
2001:4200::/23	AFRINIC	2004-06-01
2001:4400::/23	APNIC	2004-06-11
2001:4600::/23	RIPE NCC	2004-08-17
2001:4800::/23	ARIN	2004-08-24
2001:4a00::/23	RIPE NCC	2004-10-15
2001:4c00::/23	RIPE NCC	2004-12-17
2001:5000::/20	RIPE NCC	2004-09-10
2001:8000::/19	APNIC	2004-11-30
2001:a000::/20	APNIC	2004-11-30
2001:b000::/20	APNIC	2006-03-08
2003::/18	RIPE NCC	2005-01-12
2400::/12	APNIC	2006-10-03
2410::/12	APNIC	2024-11-01
2600::/12	ARIN	2006-10-03
2610::/23	ARIN	2005-11-17
2620::/23	ARIN	2006-09-12
2630::/12	ARIN	2019-11-06
2800::/12	LACNIC	2006-10-03
2a00::/12	RIPE NCC	2006-10-03
2a10::/12	RIPE NCC	2019-06-05
2c00::/12	AFRINIC	2006-10-03
