operation_id	service	authentication	query_policy	body_policy	retry_policy	permit_class
add_load_balancer_service	cloud	bearer	forbidden	json	never	mutation
add_load_balancer_target	cloud	bearer	forbidden	json	never	mutation
add_network_route	cloud	bearer	forbidden	json	never	mutation
add_network_subnet	cloud	bearer	forbidden	json	never	mutation
add_server_to_placement_group	cloud	bearer	forbidden	json	never	mutation
add_zone_rrset_records	dns	bearer	forbidden	json	never	mutation
apply_firewall_to_resources	cloud	bearer	forbidden	json	never	mutation
assign_floating_ip	cloud	bearer	forbidden	json	never	mutation
assign_primary_ip	cloud	bearer	forbidden	json	never	mutation
attach_load_balancer_to_network	cloud	bearer	forbidden	json	never	mutation
attach_server_iso	cloud	bearer	forbidden	json	never	mutation
attach_server_to_network	cloud	bearer	forbidden	json	never	mutation
attach_volume	cloud	bearer	forbidden	json	never	mutation
change_floating_ip_dns_ptr	cloud	bearer	forbidden	json	never	mutation
change_floating_ip_protection	cloud	bearer	forbidden	json	never	destructive
change_image_protection	cloud	bearer	forbidden	json	never	destructive
change_load_balancer_algorithm	cloud	bearer	forbidden	json	never	mutation
change_load_balancer_dns_ptr	cloud	bearer	forbidden	json	never	mutation
change_load_balancer_protection	cloud	bearer	forbidden	json	never	destructive
change_load_balancer_type	cloud	bearer	forbidden	json	never	cost
change_network_ip_range	cloud	bearer	forbidden	json	never	mutation
change_network_protection	cloud	bearer	forbidden	json	never	destructive
change_primary_ip_dns_ptr	cloud	bearer	forbidden	json	never	mutation
change_primary_ip_protection	cloud	bearer	forbidden	json	never	destructive
change_server_alias_ips	cloud	bearer	forbidden	json	never	mutation
change_server_dns_ptr	cloud	bearer	forbidden	json	never	mutation
change_server_protection	cloud	bearer	forbidden	json	never	destructive
change_server_type	cloud	bearer	forbidden	json	never	cost
change_storage_box_protection	storage	bearer	forbidden	json	never	destructive
change_storage_box_subaccount_home_directory	storage	bearer	forbidden	json	never	mutation
change_storage_box_type	storage	bearer	forbidden	json	never	cost
change_volume_protection	cloud	bearer	forbidden	json	never	destructive
change_zone_primary_nameservers	dns	bearer	forbidden	json	never	mutation
change_zone_protection	dns	bearer	forbidden	json	never	destructive
change_zone_rrset_protection	dns	bearer	forbidden	json	never	destructive
change_zone_rrset_ttl	dns	bearer	forbidden	json	never	mutation
change_zone_ttl	dns	bearer	forbidden	json	never	mutation
create_certificate	security	bearer	forbidden	json	never	mutation
create_firewall	cloud	bearer	forbidden	json	never	mutation
create_floating_ip	cloud	bearer	forbidden	json	never	cost
create_load_balancer	cloud	bearer	forbidden	json	never	cost
create_network	cloud	bearer	forbidden	json	never	mutation
create_placement_group	cloud	bearer	forbidden	json	never	mutation
create_primary_ip	cloud	bearer	forbidden	json	never	cost
create_server	cloud	bearer	forbidden	json	never	cost
create_server_image	cloud	bearer	forbidden	json	never	cost
create_ssh_key	security	bearer	forbidden	json	never	mutation
create_storage_box	storage	bearer	forbidden	json	never	cost
create_storage_box_snapshot	storage	bearer	forbidden	json	never	mutation
create_storage_box_subaccount	storage	bearer	forbidden	json	never	mutation
create_volume	cloud	bearer	forbidden	json	never	cost
create_zone	dns	bearer	forbidden	json	never	mutation
create_zone_rrset	dns	bearer	forbidden	json	never	mutation
delete_certificate	security	bearer	forbidden	forbidden	never	destructive
delete_firewall	cloud	bearer	forbidden	forbidden	never	destructive
delete_floating_ip	cloud	bearer	forbidden	forbidden	never	destructive
delete_image	cloud	bearer	forbidden	forbidden	never	destructive
delete_load_balancer	cloud	bearer	forbidden	forbidden	never	destructive
delete_load_balancer_service	cloud	bearer	forbidden	json	never	destructive
delete_network	cloud	bearer	forbidden	forbidden	never	destructive
delete_network_route	cloud	bearer	forbidden	json	never	destructive
delete_network_subnet	cloud	bearer	forbidden	json	never	destructive
delete_placement_group	cloud	bearer	forbidden	forbidden	never	destructive
delete_primary_ip	cloud	bearer	forbidden	forbidden	never	destructive
delete_server	cloud	bearer	forbidden	forbidden	never	destructive
delete_ssh_key	security	bearer	forbidden	forbidden	never	destructive
delete_storage_box	storage	bearer	forbidden	forbidden	never	destructive
delete_storage_box_snapshot	storage	bearer	forbidden	forbidden	never	destructive
delete_storage_box_subaccount	storage	bearer	forbidden	forbidden	never	destructive
delete_volume	cloud	bearer	forbidden	forbidden	never	destructive
delete_zone	dns	bearer	forbidden	forbidden	never	destructive
delete_zone_rrset	dns	bearer	forbidden	forbidden	never	destructive
detach_load_balancer_from_network	cloud	bearer	forbidden	json	never	destructive
detach_server_from_network	cloud	bearer	forbidden	json	never	destructive
detach_server_iso	cloud	bearer	forbidden	forbidden	never	destructive
detach_volume	cloud	bearer	forbidden	forbidden	never	destructive
disable_load_balancer_public_interface	cloud	bearer	forbidden	forbidden	never	destructive
disable_server_backup	cloud	bearer	forbidden	forbidden	never	destructive
disable_server_rescue	cloud	bearer	forbidden	forbidden	never	destructive
disable_storage_box_snapshot_plan	storage	bearer	forbidden	forbidden	never	destructive
enable_load_balancer_public_interface	cloud	bearer	forbidden	forbidden	never	mutation
enable_server_backup	cloud	bearer	forbidden	forbidden	never	cost
enable_server_rescue	cloud	bearer	forbidden	json	never	mutation
enable_storage_box_snapshot_plan	storage	bearer	forbidden	json	never	mutation
get_action	cloud	bearer	forbidden	forbidden	explicit	none
get_actions	cloud	bearer	required	forbidden	explicit	none
get_certificate	security	bearer	forbidden	forbidden	explicit	none
get_certificates_action	security	bearer	forbidden	forbidden	explicit	none
get_firewall	cloud	bearer	forbidden	forbidden	explicit	none
get_firewalls_action	cloud	bearer	forbidden	forbidden	explicit	none
get_floating_ip	cloud	bearer	forbidden	forbidden	explicit	none
get_floating_ips_action	cloud	bearer	forbidden	forbidden	explicit	none
get_image	cloud	bearer	forbidden	forbidden	explicit	none
get_images_action	cloud	bearer	forbidden	forbidden	explicit	none
get_iso	cloud	bearer	forbidden	forbidden	explicit	none
get_load_balancer	cloud	bearer	forbidden	forbidden	explicit	none
get_load_balancer_metrics	cloud	bearer	required	forbidden	explicit	none
get_load_balancer_type	cloud	bearer	forbidden	forbidden	explicit	none
get_load_balancers_action	cloud	bearer	forbidden	forbidden	explicit	none
get_location	cloud	bearer	forbidden	forbidden	explicit	none
get_network	cloud	bearer	forbidden	forbidden	explicit	none
get_networks_action	cloud	bearer	forbidden	forbidden	explicit	none
get_placement_group	cloud	bearer	forbidden	forbidden	explicit	none
get_pricing	cloud	bearer	forbidden	forbidden	explicit	none
get_primary_ip	cloud	bearer	forbidden	forbidden	explicit	none
get_primary_ips_action	cloud	bearer	forbidden	forbidden	explicit	none
get_server	cloud	bearer	forbidden	forbidden	explicit	none
get_server_metrics	cloud	bearer	required	forbidden	explicit	none
get_server_type	cloud	bearer	forbidden	forbidden	explicit	none
get_servers_action	cloud	bearer	forbidden	forbidden	explicit	none
get_ssh_key	security	bearer	forbidden	forbidden	explicit	none
get_storage_box	storage	bearer	forbidden	forbidden	explicit	none
get_storage_box_snapshot	storage	bearer	forbidden	forbidden	explicit	none
get_storage_box_subaccount	storage	bearer	forbidden	forbidden	explicit	none
get_storage_box_type	storage	bearer	forbidden	forbidden	explicit	none
get_storage_boxes_action	storage	bearer	forbidden	forbidden	explicit	none
get_volume	cloud	bearer	forbidden	forbidden	explicit	none
get_volumes_action	cloud	bearer	forbidden	forbidden	explicit	none
get_zone	dns	bearer	forbidden	forbidden	explicit	none
get_zone_rrset	dns	bearer	forbidden	forbidden	explicit	none
get_zone_zonefile	dns	bearer	forbidden	forbidden	explicit	none
get_zones_action	dns	bearer	forbidden	forbidden	explicit	none
import_zone_zonefile	dns	bearer	forbidden	json	never	destructive
list_certificate_actions	security	bearer	optional	forbidden	explicit	none
list_certificates	security	bearer	optional	forbidden	explicit	none
list_certificates_actions	security	bearer	optional	forbidden	explicit	none
list_firewall_actions	cloud	bearer	optional	forbidden	explicit	none
list_firewalls	cloud	bearer	optional	forbidden	explicit	none
list_firewalls_actions	cloud	bearer	optional	forbidden	explicit	none
list_floating_ip_actions	cloud	bearer	optional	forbidden	explicit	none
list_floating_ips	cloud	bearer	optional	forbidden	explicit	none
list_floating_ips_actions	cloud	bearer	optional	forbidden	explicit	none
list_image_actions	cloud	bearer	optional	forbidden	explicit	none
list_images	cloud	bearer	optional	forbidden	explicit	none
list_images_actions	cloud	bearer	optional	forbidden	explicit	none
list_isos	cloud	bearer	optional	forbidden	explicit	none
list_load_balancer_actions	cloud	bearer	optional	forbidden	explicit	none
list_load_balancer_types	cloud	bearer	optional	forbidden	explicit	none
list_load_balancers	cloud	bearer	optional	forbidden	explicit	none
list_load_balancers_actions	cloud	bearer	optional	forbidden	explicit	none
list_locations	cloud	bearer	optional	forbidden	explicit	none
list_network_actions	cloud	bearer	optional	forbidden	explicit	none
list_networks	cloud	bearer	optional	forbidden	explicit	none
list_networks_actions	cloud	bearer	optional	forbidden	explicit	none
list_placement_groups	cloud	bearer	optional	forbidden	explicit	none
list_primary_ip_actions	cloud	bearer	optional	forbidden	explicit	none
list_primary_ips	cloud	bearer	optional	forbidden	explicit	none
list_primary_ips_actions	cloud	bearer	optional	forbidden	explicit	none
list_server_actions	cloud	bearer	optional	forbidden	explicit	none
list_server_types	cloud	bearer	optional	forbidden	explicit	none
list_servers	cloud	bearer	optional	forbidden	explicit	none
list_servers_actions	cloud	bearer	optional	forbidden	explicit	none
list_ssh_keys	security	bearer	optional	forbidden	explicit	none
list_storage_box_actions	storage	bearer	optional	forbidden	explicit	none
list_storage_box_folders	storage	bearer	forbidden	forbidden	explicit	none
list_storage_box_snapshots	storage	bearer	optional	forbidden	explicit	none
list_storage_box_subaccounts	storage	bearer	optional	forbidden	explicit	none
list_storage_box_types	storage	bearer	optional	forbidden	explicit	none
list_storage_boxes	storage	bearer	optional	forbidden	explicit	none
list_storage_boxes_actions	storage	bearer	optional	forbidden	explicit	none
list_volume_actions	cloud	bearer	optional	forbidden	explicit	none
list_volumes	cloud	bearer	optional	forbidden	explicit	none
list_volumes_actions	cloud	bearer	optional	forbidden	explicit	none
list_zone_actions	dns	bearer	optional	forbidden	explicit	none
list_zone_rrsets	dns	bearer	optional	forbidden	explicit	none
list_zones	dns	bearer	optional	forbidden	explicit	none
list_zones_actions	dns	bearer	optional	forbidden	explicit	none
poweroff_server	cloud	bearer	forbidden	forbidden	never	destructive
poweron_server	cloud	bearer	forbidden	forbidden	never	mutation
reboot_server	cloud	bearer	forbidden	forbidden	never	mutation
rebuild_server	cloud	bearer	forbidden	json	never	destructive
remove_firewall_from_resources	cloud	bearer	forbidden	json	never	destructive
remove_load_balancer_target	cloud	bearer	forbidden	json	never	destructive
remove_server_from_placement_group	cloud	bearer	forbidden	forbidden	never	destructive
remove_zone_rrset_records	dns	bearer	forbidden	json	never	destructive
request_server_console	cloud	bearer	forbidden	forbidden	never	mutation
reset_server	cloud	bearer	forbidden	forbidden	never	destructive
reset_server_password	cloud	bearer	forbidden	forbidden	never	destructive
reset_storage_box_password	storage	bearer	forbidden	json	never	destructive
reset_storage_box_subaccount_password	storage	bearer	forbidden	json	never	destructive
resize_volume	cloud	bearer	forbidden	json	never	cost
retry_certificate	security	bearer	forbidden	forbidden	never	mutation
rollback_storage_box_snapshot	storage	bearer	forbidden	json	never	destructive
set_firewall_rules	cloud	bearer	forbidden	json	never	destructive
set_zone_rrset_records	dns	bearer	forbidden	json	never	destructive
shutdown_server	cloud	bearer	forbidden	forbidden	never	destructive
unassign_floating_ip	cloud	bearer	forbidden	forbidden	never	destructive
unassign_primary_ip	cloud	bearer	forbidden	forbidden	never	destructive
update_certificate	security	bearer	forbidden	json	explicit	mutation
update_firewall	cloud	bearer	forbidden	json	explicit	mutation
update_floating_ip	cloud	bearer	forbidden	json	explicit	mutation
update_image	cloud	bearer	forbidden	json	explicit	mutation
update_load_balancer	cloud	bearer	forbidden	json	explicit	mutation
update_load_balancer_service	cloud	bearer	forbidden	json	never	mutation
update_network	cloud	bearer	forbidden	json	explicit	mutation
update_placement_group	cloud	bearer	forbidden	json	explicit	mutation
update_primary_ip	cloud	bearer	forbidden	json	explicit	mutation
update_server	cloud	bearer	forbidden	json	explicit	mutation
update_ssh_key	security	bearer	forbidden	json	explicit	mutation
update_storage_box	storage	bearer	forbidden	json	explicit	mutation
update_storage_box_access_settings	storage	bearer	forbidden	json	never	mutation
update_storage_box_snapshot	storage	bearer	forbidden	json	explicit	mutation
update_storage_box_subaccount	storage	bearer	forbidden	json	explicit	mutation
update_storage_box_subaccount_access_settings	storage	bearer	forbidden	json	never	mutation
update_volume	cloud	bearer	forbidden	json	explicit	mutation
update_zone	dns	bearer	forbidden	json	explicit	mutation
update_zone_rrset	dns	bearer	forbidden	json	explicit	mutation
update_zone_rrset_records	dns	bearer	forbidden	json	never	mutation
