operation_id	api	service	method	path	endpoint_policy	authentication	authentication_scope	query_policy	body_policy	request_headers	request_media	success_status	success_shape	success_root	success_required	success_body	success_media	success_body_max_bytes	error_body	error_media	error_body_max_bytes	pagination	quota	retry	streaming	permit_class	response_identity
add_load_balancer_service	cloud	cloud	POST	/load_balancers/{id}/actions/add_service	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
add_load_balancer_target	cloud	cloud	POST	/load_balancers/{id}/actions/add_target	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
add_network_route	cloud	cloud	POST	/networks/{id}/actions/add_route	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
add_network_subnet	cloud	cloud	POST	/networks/{id}/actions/add_subnet	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
add_server_to_placement_group	cloud	cloud	POST	/servers/{id}/actions/add_to_placement_group	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
add_zone_rrset_records	cloud	dns	POST	/zones/{id_or_name}/rrsets/{rr_name}/{rr_type}/actions/add_records	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
apply_firewall_to_resources	cloud	cloud	POST	/firewalls/{id}/actions/apply_to_resources	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	actions	-	actions	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
assign_floating_ip	cloud	cloud	POST	/floating_ips/{id}/actions/assign	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
assign_primary_ip	cloud	cloud	POST	/primary_ips/{id}/actions/assign	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
attach_load_balancer_to_network	cloud	cloud	POST	/load_balancers/{id}/actions/attach_to_network	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
attach_server_iso	cloud	cloud	POST	/servers/{id}/actions/attach_iso	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
attach_server_to_network	cloud	cloud	POST	/servers/{id}/actions/attach_to_network	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
attach_volume	cloud	cloud	POST	/volumes/{id}/actions/attach	cloud-v1	bearer	required-service	forbidden	json	accept-json+content-type-json	application-json	201	action	-	action	required-json	application-json	8388608	required-json	application-json	8388608	none	hetzner	never	buffered	mutation	none
